,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.045823979428776744,0.05417602057122326,0.16666666666666666,linear_spg_eta=100.0,Bernoulli (hard),0,0
1,10000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
2,20000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
3,30000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
4,40000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
5,50000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
6,60000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
7,70000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
8,80000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
9,90000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
10,100000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
11,110000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
12,120000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
13,130000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
14,140000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
15,150000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
16,160000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
17,170000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
18,180000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
19,190000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
20,200000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
21,210000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
22,220000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
23,230000,0.1,-1.5208758326264347e-27,1.0,linear_spg_eta=100.0,Bernoulli (hard),0,0
