,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.045823979428776744,0.05417602057122326,0.16666666666666666,linear_spg_eta=0.03,Bernoulli (hard),0,0
1,10000,0.0913284407155698,0.008671559284430202,0.8370678328511791,linear_spg_eta=0.03,Bernoulli (hard),0,0
2,20000,0.09685832712426269,0.0031416728757373185,0.9381687444634557,linear_spg_eta=0.03,Bernoulli (hard),0,0
3,30000,0.09815425380597025,0.001845746194029772,0.9631435326723575,linear_spg_eta=0.03,Bernoulli (hard),0,0
4,40000,0.09854869087214391,0.0014513091278560912,0.9707386936328565,linear_spg_eta=0.03,Bernoulli (hard),0,0
5,50000,0.09878753934904587,0.0012124606509541374,0.9754482655500951,linear_spg_eta=0.03,Bernoulli (hard),0,0
6,60000,0.09903185174723221,0.0009681482527677861,0.9802972770838189,linear_spg_eta=0.03,Bernoulli (hard),0,0
7,70000,0.09923330701725568,0.0007666929827443264,0.9843199329184624,linear_spg_eta=0.03,Bernoulli (hard),0,0
8,80000,0.09933345171749502,0.0006665482825049853,0.9863299855881228,linear_spg_eta=0.03,Bernoulli (hard),0,0
9,90000,0.09937209930475857,0.000627900695241434,0.9870980345863408,linear_spg_eta=0.03,Bernoulli (hard),0,0
10,100000,0.09943822122018482,0.0005617787798151855,0.9884305181002861,linear_spg_eta=0.03,Bernoulli (hard),0,0
11,110000,0.09948995636517703,0.0005100436348229788,0.9894875540796545,linear_spg_eta=0.03,Bernoulli (hard),0,0
12,120000,0.09957301074769942,0.0004269892523005693,0.9911755281085382,linear_spg_eta=0.03,Bernoulli (hard),0,0
13,130000,0.09957019294771075,0.0004298070522892626,0.9911292323192744,linear_spg_eta=0.03,Bernoulli (hard),0,0
14,140000,0.09959762488182251,0.00040237511817747796,0.991685828648447,linear_spg_eta=0.03,Bernoulli (hard),0,0
15,150000,0.099621255864279,0.00037874413572099453,0.9921693365634208,linear_spg_eta=0.03,Bernoulli (hard),0,0
16,160000,0.09963625582231088,0.00036374417768912236,0.9924755989163794,linear_spg_eta=0.03,Bernoulli (hard),0,0
17,170000,0.09966640568310173,0.00033359431689827964,0.9930912444797348,linear_spg_eta=0.03,Bernoulli (hard),0,0
18,180000,0.0996868736106659,0.0003131263893341199,0.9935058346641814,linear_spg_eta=0.03,Bernoulli (hard),0,0
19,190000,0.09970033924489392,0.00029966075510609325,0.9937844530295579,linear_spg_eta=0.03,Bernoulli (hard),0,0
20,200000,0.0997128477343868,0.00028715226561320807,0.9940433732158287,linear_spg_eta=0.03,Bernoulli (hard),0,0
21,210000,0.09972605812126362,0.00027394187873638394,0.9943130652752507,linear_spg_eta=0.03,Bernoulli (hard),0,0
22,220000,0.09973897131673803,0.0002610286832619724,0.9945770190732542,linear_spg_eta=0.03,Bernoulli (hard),0,0
23,230000,0.09975073442903465,0.0002492655709653613,0.9948156024945283,linear_spg_eta=0.03,Bernoulli (hard),0,0
24,240000,0.09975124409993986,0.0002487559000601668,0.9948295068014056,linear_spg_eta=0.03,Bernoulli (hard),0,0
25,250000,0.0997637689704818,0.00023623102951821212,0.9950850418711841,linear_spg_eta=0.03,Bernoulli (hard),0,0
26,260000,0.09976836384916361,0.00023163615083640263,0.9951778691130737,linear_spg_eta=0.03,Bernoulli (hard),0,0
27,270000,0.09977964994532904,0.00022035005467095712,0.9954122289020546,linear_spg_eta=0.03,Bernoulli (hard),0,0
28,280000,0.0997854570199842,0.00021454298001581136,0.9955328570621901,linear_spg_eta=0.03,Bernoulli (hard),0,0
29,290000,0.09979761272678293,0.00020238727321705415,0.9957825319147702,linear_spg_eta=0.03,Bernoulli (hard),0,0
30,300000,0.09980557783525917,0.00019442216474081653,0.9959453239486135,linear_spg_eta=0.03,Bernoulli (hard),0,0
31,310000,0.09981248588309517,0.00018751411690483058,0.9960865244299276,linear_spg_eta=0.03,Bernoulli (hard),0,0
32,320000,0.09981943750850232,0.00018056249149768882,0.9962302910264221,linear_spg_eta=0.03,Bernoulli (hard),0,0
33,330000,0.09982223205124703,0.00017776794875296628,0.996290355686343,linear_spg_eta=0.03,Bernoulli (hard),0,0
34,340000,0.09982779941412638,0.0001722005858736204,0.9964068712283597,linear_spg_eta=0.03,Bernoulli (hard),0,0
35,350000,0.09981774973175875,0.0001822502682412456,0.9961944442253882,linear_spg_eta=0.03,Bernoulli (hard),0,0
36,360000,0.0998197641537961,0.0001802358462038938,0.996235515038184,linear_spg_eta=0.03,Bernoulli (hard),0,0
37,370000,0.09982525118040675,0.00017474881959325398,0.9963505366776078,linear_spg_eta=0.03,Bernoulli (hard),0,0
38,380000,0.09983290291828469,0.00016709708171533085,0.9965095536838832,linear_spg_eta=0.03,Bernoulli (hard),0,0
39,390000,0.09984032285112464,0.00015967714887537594,0.9966638007341752,linear_spg_eta=0.03,Bernoulli (hard),0,0
40,400000,0.09984157042971185,0.00015842957028816266,0.9966903713849471,linear_spg_eta=0.03,Bernoulli (hard),0,0
41,410000,0.09984510533622871,0.0001548946637712865,0.9967648370375368,linear_spg_eta=0.03,Bernoulli (hard),0,0
42,420000,0.09984847613815463,0.0001515238618453749,0.9968346581943067,linear_spg_eta=0.03,Bernoulli (hard),0,0
43,430000,0.09985408053457452,0.00014591946542547612,0.9969501360523797,linear_spg_eta=0.03,Bernoulli (hard),0,0
44,440000,0.09985702456233327,0.00014297543766674878,0.9970111836746749,linear_spg_eta=0.03,Bernoulli (hard),0,0
45,450000,0.09986205182961258,0.0001379481703874245,0.9971148502577625,linear_spg_eta=0.03,Bernoulli (hard),0,0
46,460000,0.09986889623451643,0.00013110376548356746,0.9972567921140486,linear_spg_eta=0.03,Bernoulli (hard),0,0
47,470000,0.09987506178129504,0.0001249382187049781,0.9973847366976968,linear_spg_eta=0.03,Bernoulli (hard),0,0
48,480000,0.09987645773310813,0.0001235422668918822,0.9974137734282514,linear_spg_eta=0.03,Bernoulli (hard),0,0
49,490000,0.0998802535640834,0.00011974643591660842,0.9974921572462254,linear_spg_eta=0.03,Bernoulli (hard),0,0
50,500000,0.09988162237370743,0.00011837762629258482,0.9975206496374394,linear_spg_eta=0.03,Bernoulli (hard),0,0
51,510000,0.0998788163903346,0.00012118360966541656,0.9974615416875974,linear_spg_eta=0.03,Bernoulli (hard),0,0
52,520000,0.0998838890489832,0.00011611095101680683,0.9975669657678017,linear_spg_eta=0.03,Bernoulli (hard),0,0
53,530000,0.09988292900430003,0.00011707099569997763,0.9975466473321737,linear_spg_eta=0.03,Bernoulli (hard),0,0
54,540000,0.09988607908167342,0.00011392091832658863,0.9976117399986324,linear_spg_eta=0.03,Bernoulli (hard),0,0
55,550000,0.09989088129406117,0.00010911870593884421,0.9977116561201479,linear_spg_eta=0.03,Bernoulli (hard),0,0
56,560000,0.099895285340599,0.00010471465940100674,0.9978033322721536,linear_spg_eta=0.03,Bernoulli (hard),0,0
57,570000,0.09989575203442531,0.00010424796557469447,0.9978131062801808,linear_spg_eta=0.03,Bernoulli (hard),0,0
58,580000,0.09989782201466965,0.00010217798533035708,0.9978558502267763,linear_spg_eta=0.03,Bernoulli (hard),0,0
59,590000,0.0998999930092077,0.00010000699079230565,0.9979007279590679,linear_spg_eta=0.03,Bernoulli (hard),0,0
60,600000,0.09989846067325062,0.0001015393267493941,0.9978684984058358,linear_spg_eta=0.03,Bernoulli (hard),0,0
61,610000,0.0999022051550205,9.779484497948708e-05,0.9979465493965057,linear_spg_eta=0.03,Bernoulli (hard),0,0
62,620000,0.09989889850867761,0.00010110149132240533,0.9978762062534441,linear_spg_eta=0.03,Bernoulli (hard),0,0
63,630000,0.09990232390282856,9.767609717143654e-05,0.9979476669812142,linear_spg_eta=0.03,Bernoulli (hard),0,0
64,640000,0.09990067321977412,9.932678022588531e-05,0.9979121946474462,linear_spg_eta=0.03,Bernoulli (hard),0,0
65,650000,0.09990266182338862,9.733817661137706e-05,0.997954110415761,linear_spg_eta=0.03,Bernoulli (hard),0,0
66,660000,0.09990281587272928,9.718412727070082e-05,0.9979573902055703,linear_spg_eta=0.03,Bernoulli (hard),0,0
67,670000,0.09990618674291729,9.381325708271253e-05,0.9980277660421486,linear_spg_eta=0.03,Bernoulli (hard),0,0
68,680000,0.09990797459288667,9.202540711333587e-05,0.9980654779945098,linear_spg_eta=0.03,Bernoulli (hard),0,0
69,690000,0.09991104254407036,8.895745592962203e-05,0.9981295495235983,linear_spg_eta=0.03,Bernoulli (hard),0,0
70,700000,0.09991247515504378,8.752484495622548e-05,0.9981591774299939,linear_spg_eta=0.03,Bernoulli (hard),0,0
71,710000,0.09991377808851577,8.622191148424478e-05,0.9981861107867367,linear_spg_eta=0.03,Bernoulli (hard),0,0
72,720000,0.09991354552816281,8.645447183717595e-05,0.9981819518824396,linear_spg_eta=0.03,Bernoulli (hard),0,0
73,730000,0.09991631777351953,8.368222648047479e-05,0.9982398791538942,linear_spg_eta=0.03,Bernoulli (hard),0,0
74,740000,0.09991879621263769,8.12037873623267e-05,0.9982916830692622,linear_spg_eta=0.03,Bernoulli (hard),0,0
75,750000,0.09991841754654017,8.15824534598391e-05,0.9982838175198835,linear_spg_eta=0.03,Bernoulli (hard),0,0
76,760000,0.09991673217251419,8.326782748580255e-05,0.9982483591056618,linear_spg_eta=0.03,Bernoulli (hard),0,0
77,770000,0.0999163385343267,8.36614656733197e-05,0.9982401838873749,linear_spg_eta=0.03,Bernoulli (hard),0,0
78,780000,0.09991735562465849,8.26443753415211e-05,0.998261776123213,linear_spg_eta=0.03,Bernoulli (hard),0,0
79,790000,0.09991979507402808,8.020492597193397e-05,0.9983127638788017,linear_spg_eta=0.03,Bernoulli (hard),0,0
80,800000,0.09992215548437809,7.7844515621896e-05,0.9983621137764981,linear_spg_eta=0.03,Bernoulli (hard),0,0
81,810000,0.09992440400682259,7.559599317741647e-05,0.9984091375516202,linear_spg_eta=0.03,Bernoulli (hard),0,0
82,820000,0.09992658441269629,7.341558730371667e-05,0.9984547492386141,linear_spg_eta=0.03,Bernoulli (hard),0,0
83,830000,0.09992853330347788,7.146669652211929e-05,0.9984955284105858,linear_spg_eta=0.03,Bernoulli (hard),0,0
84,840000,0.09992784843637471,7.215156362527587e-05,0.9984807111418853,linear_spg_eta=0.03,Bernoulli (hard),0,0
85,850000,0.09992972823825043,7.027176174957781e-05,0.9985200661730341,linear_spg_eta=0.03,Bernoulli (hard),0,0
86,860000,0.09993153681858599,6.846318141401552e-05,0.9985579389615531,linear_spg_eta=0.03,Bernoulli (hard),0,0
87,870000,0.09993329765284012,6.670234715988293e-05,0.998594820351361,linear_spg_eta=0.03,Bernoulli (hard),0,0
