,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.045823979428776744,0.05417602057122326,0.16666666666666666,linear_spg_eta=1.0,Gaussian (hard),0,0
1,10000,0.09984947395274493,0.00015052604725506008,0.9968300778344857,linear_spg_eta=1.0,Gaussian (hard),0,0
2,20000,0.09991755377941826,8.244622058176056e-05,0.9982592767929029,linear_spg_eta=1.0,Gaussian (hard),0,0
3,30000,0.09993540938859138,6.45906114086089e-05,0.9986348662842948,linear_spg_eta=1.0,Gaussian (hard),0,0
4,40000,0.09991062653194581,8.937346805419535e-05,0.998118320453387,linear_spg_eta=1.0,Gaussian (hard),0,0
5,50000,0.09994514013167398,5.485986832602958e-05,0.9988413729222614,linear_spg_eta=1.0,Gaussian (hard),0,0
6,60000,0.09996323909849858,3.67609015014375e-05,0.9992210008305767,linear_spg_eta=1.0,Gaussian (hard),0,0
7,70000,0.09997029752980319,2.9702470196826605e-05,0.9993694845261145,linear_spg_eta=1.0,Gaussian (hard),0,0
8,80000,0.0999716777073476,2.8322292652402516e-05,0.999398111402724,linear_spg_eta=1.0,Gaussian (hard),0,0
9,90000,0.09997757165697206,2.2428343027953505e-05,0.9995236034124962,linear_spg_eta=1.0,Gaussian (hard),0,0
10,100000,0.09998183420323523,1.8165796764767834e-05,0.999613786661033,linear_spg_eta=1.0,Gaussian (hard),0,0
11,110000,0.09998358004260963,1.6419957390374403e-05,0.9996513063662551,linear_spg_eta=1.0,Gaussian (hard),0,0
12,120000,0.099983650036224,1.6349963776008035e-05,0.9996535008033057,linear_spg_eta=1.0,Gaussian (hard),0,0
13,130000,0.09998100533338651,1.899466661348949e-05,0.99959800322656,linear_spg_eta=1.0,Gaussian (hard),0,0
14,140000,0.09997936480078123,2.0635199218779638e-05,0.9995637314993885,linear_spg_eta=1.0,Gaussian (hard),0,0
15,150000,0.09998110333743812,1.889666256187771e-05,0.9996004653133919,linear_spg_eta=1.0,Gaussian (hard),0,0
16,160000,0.09998436647509859,1.563352490142227e-05,0.9996691766429744,linear_spg_eta=1.0,Gaussian (hard),0,0
17,170000,0.09998551316162742,1.4486838372593402e-05,0.9996937371382865,linear_spg_eta=1.0,Gaussian (hard),0,0
18,180000,0.09998688679810062,1.3113201899373369e-05,0.999722522844452,linear_spg_eta=1.0,Gaussian (hard),0,0
19,190000,0.09998564417458307,1.4355825416944436e-05,0.9996962202859043,linear_spg_eta=1.0,Gaussian (hard),0,0
20,200000,0.0999878541061677,1.2145893832299528e-05,0.9997428638073087,linear_spg_eta=1.0,Gaussian (hard),0,0
21,210000,0.09998810599841539,1.1894001584622397e-05,0.9997481475264793,linear_spg_eta=1.0,Gaussian (hard),0,0
22,220000,0.09998974119716883,1.0258802831167815e-05,0.9997827046146331,linear_spg_eta=1.0,Gaussian (hard),0,0
23,230000,0.09998827313645331,1.1726863546695647e-05,0.999751408859592,linear_spg_eta=1.0,Gaussian (hard),0,0
24,240000,0.09998953654704805,1.0463452951961406e-05,0.9997780862872453,linear_spg_eta=1.0,Gaussian (hard),0,0
25,250000,0.09999043514628879,9.56485371121873e-06,0.9997970448389673,linear_spg_eta=1.0,Gaussian (hard),0,0
26,260000,0.09999118362124236,8.816378757641992e-06,0.9998128388341216,linear_spg_eta=1.0,Gaussian (hard),0,0
27,270000,0.09999180862679125,8.191373208759698e-06,0.999826034442756,linear_spg_eta=1.0,Gaussian (hard),0,0
28,280000,0.09999169427572059,8.305724279422127e-06,0.9998237458149718,linear_spg_eta=1.0,Gaussian (hard),0,0
29,290000,0.09999247768458465,7.522315415356023e-06,0.9998403592325636,linear_spg_eta=1.0,Gaussian (hard),0,0
30,300000,0.09999228510000037,7.714899999635387e-06,0.99983647447307,linear_spg_eta=1.0,Gaussian (hard),0,0
31,310000,0.09999213060663106,7.869393368934977e-06,0.9998330423693913,linear_spg_eta=1.0,Gaussian (hard),0,0
32,320000,0.09999200718041666,7.992819583335905e-06,0.999830615368268,linear_spg_eta=1.0,Gaussian (hard),0,0
33,330000,0.09999181310684935,8.186893150658937e-06,0.9998263204418708,linear_spg_eta=1.0,Gaussian (hard),0,0
34,340000,0.09999261880973756,7.381190262447624e-06,0.9998433889821703,linear_spg_eta=1.0,Gaussian (hard),0,0
35,350000,0.09999232077644804,7.67922355196187e-06,0.9998371054824723,linear_spg_eta=1.0,Gaussian (hard),0,0
36,360000,0.09999303139327145,6.968606728554447e-06,0.9998521586853629,linear_spg_eta=1.0,Gaussian (hard),0,0
