,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.045823979428776744,0.05417602057122326,0.16666666666666666,linear_spg_eta=1000.0,Gaussian (hard),0,0
1,10000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
2,20000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
3,30000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
4,40000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
5,50000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
6,60000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
7,70000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
8,80000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
9,90000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
10,100000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
11,110000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
12,120000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
13,130000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
14,140000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
15,150000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
16,160000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
17,170000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
18,180000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
19,190000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
20,200000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
21,210000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
22,220000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
23,230000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
24,240000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
25,250000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
26,260000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
27,270000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
28,280000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
29,290000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
30,300000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
31,310000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
32,320000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
33,330000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
34,340000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
35,350000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
36,360000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
37,370000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
38,380000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
39,390000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
40,400000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
41,410000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
42,420000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
43,430000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
44,440000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
45,450000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
46,460000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
47,470000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
48,480000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
49,490000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
50,500000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
51,510000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
52,520000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
53,530000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
54,540000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
55,550000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
56,560000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
57,570000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
58,580000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
59,590000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
60,600000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
61,610000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
62,620000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
63,630000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
64,640000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
65,650000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
66,660000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
67,670000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
68,680000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
69,690000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
70,700000,0.1,-2.932913181724876e-64,1.0,linear_spg_eta=1000.0,Gaussian (hard),0,0
