,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.45823979428776745,0.5417602057122328,0.16666666666666666,linear_spg_eta=1.0,Beta,0,0
1,10000,0.9997958494529234,0.00020415054707667801,0.9995642792228931,linear_spg_eta=1.0,Beta,0,0
2,20000,0.9998903976467944,0.00010960235320564282,0.9997650994862515,linear_spg_eta=1.0,Beta,0,0
3,30000,0.999953761989157,4.6238010843104186e-05,0.999900922266438,linear_spg_eta=1.0,Beta,0,0
4,40000,0.9999429502007671,5.704979923295333e-05,0.9998775815370952,linear_spg_eta=1.0,Beta,0,0
5,50000,0.99996669799513,3.3302004869868805e-05,0.9999285666700864,linear_spg_eta=1.0,Beta,0,0
6,60000,0.9999764695749135,2.3530425086702268e-05,0.9999495420833294,linear_spg_eta=1.0,Beta,0,0
7,70000,0.9999818012870709,1.8198712928991288e-05,0.9999609848744317,linear_spg_eta=1.0,Beta,0,0
8,80000,0.9999851600673962,1.4839932603824271e-05,0.9999681921747673,linear_spg_eta=1.0,Beta,0,0
9,90000,0.9999850727435551,1.4927256444894726e-05,0.9999680608123794,linear_spg_eta=1.0,Beta,0,0
10,100000,0.9999874023823639,1.2597617636070111e-05,0.9999730492130865,linear_spg_eta=1.0,Beta,0,0
11,110000,0.9999891020906476,1.0897909352350096e-05,0.999976688404124,linear_spg_eta=1.0,Beta,0,0
12,120000,0.999987429771683,1.2570228317122698e-05,0.9999731785629331,linear_spg_eta=1.0,Beta,0,0
13,130000,0.9999891164277293,1.0883572270743557e-05,0.999976779105622,linear_spg_eta=1.0,Beta,0,0
14,140000,0.9999864124611486,1.3587538851404177e-05,0.9999711091943899,linear_spg_eta=1.0,Beta,0,0
15,150000,0.999988354076408,1.1645923591972198e-05,0.9999752375170516,linear_spg_eta=1.0,Beta,0,0
16,160000,0.9999898097024681,1.0190297531883299e-05,0.9999783326789254,linear_spg_eta=1.0,Beta,0,0
17,170000,0.9999909415672048,9.058432795202429e-06,0.9999807395009983,linear_spg_eta=1.0,Beta,0,0
18,180000,0.9999918469121586,8.15308784154369e-06,0.9999826646953552,linear_spg_eta=1.0,Beta,0,0
19,190000,0.9999925875743244,7.412425675613531e-06,0.9999842397232874,linear_spg_eta=1.0,Beta,0,0
20,200000,0.9999910903086392,8.909691360814988e-06,0.9999811032174156,linear_spg_eta=1.0,Beta,0,0
21,210000,0.9999919651436613,8.034856338626796e-06,0.9999829582518429,linear_spg_eta=1.0,Beta,0,0
22,220000,0.9999896384468105,1.0361553189382788e-05,0.9999779577403575,linear_spg_eta=1.0,Beta,0,0
23,230000,0.9999885624703762,1.1437529623956922e-05,0.9999757199035374,linear_spg_eta=1.0,Beta,0,0
24,240000,0.9999899670564619,1.0032943538022763e-05,0.9999787010816197,linear_spg_eta=1.0,Beta,0,0
25,250000,0.9999910641338826,8.935866117421122e-06,0.9999810297451074,linear_spg_eta=1.0,Beta,0,0
26,260000,0.9999919447534917,8.055246508184577e-06,0.9999828990541579,linear_spg_eta=1.0,Beta,0,0
27,270000,0.9999926672438231,7.332756176964902e-06,0.9999844327642853,linear_spg_eta=1.0,Beta,0,0
28,280000,0.9999893700039123,1.0629996087637607e-05,0.9999773498738795,linear_spg_eta=1.0,Beta,0,0
29,290000,0.999990599027524,9.400972475916368e-06,0.9999799695383856,linear_spg_eta=1.0,Beta,0,0
30,300000,0.9999915730186613,8.426981338672885e-06,0.9999820455754554,linear_spg_eta=1.0,Beta,0,0
31,310000,0.9999903545073292,9.64549267083418e-06,0.9999794104035298,linear_spg_eta=1.0,Beta,0,0
32,320000,0.9999913796494105,8.620350589435149e-06,0.9999816000365364,linear_spg_eta=1.0,Beta,0,0
33,330000,0.9999922075592976,7.792440702414382e-06,0.9999833683114274,linear_spg_eta=1.0,Beta,0,0
34,340000,0.9999928901867989,7.109813200990054e-06,0.9999848262204091,linear_spg_eta=1.0,Beta,0,0
35,350000,0.9999928482083013,7.151791698805921e-06,0.9999847499390194,linear_spg_eta=1.0,Beta,0,0
36,360000,0.9999934265365802,6.5734634197717624e-06,0.9999859838176862,linear_spg_eta=1.0,Beta,0,0
37,370000,0.9999939182251361,6.081774863943491e-06,0.9999870328145161,linear_spg_eta=1.0,Beta,0,0
38,380000,0.9999943413948326,5.658605167411122e-06,0.9999879356007021,linear_spg_eta=1.0,Beta,0,0
39,390000,0.9999947094414103,5.2905585897272585e-06,0.999988720763434,linear_spg_eta=1.0,Beta,0,0
40,400000,0.9999950324815672,4.9675184328691035e-06,0.9999894098920228,linear_spg_eta=1.0,Beta,0,0
41,410000,0.9999953182985516,4.681701448353306e-06,0.9999900195959297,linear_spg_eta=1.0,Beta,0,0
42,420000,0.9999955729783494,4.427021650586398e-06,0.9999905628624802,linear_spg_eta=1.0,Beta,0,0
43,430000,0.999995801348472,4.198651528113961e-06,0.9999910499933061,linear_spg_eta=1.0,Beta,0,0
44,440000,0.9999960072873011,3.992712698849003e-06,0.9999914892645295,linear_spg_eta=1.0,Beta,0,0
45,450000,0.999996193946452,3.8060535480366866e-06,0.9999918874013151,linear_spg_eta=1.0,Beta,0,0
46,460000,0.9999963639134136,3.6360865863918515e-06,0.9999922499249669,linear_spg_eta=1.0,Beta,0,0
47,470000,0.9999965193323807,3.4806676193421746e-06,0.9999925814107963,linear_spg_eta=1.0,Beta,0,0
48,480000,0.9999966619952999,3.338004700004986e-06,0.9999928856824244,linear_spg_eta=1.0,Beta,0,0
49,490000,0.9999967934113628,3.206588637297608e-06,0.9999931659600825,linear_spg_eta=1.0,Beta,0,0
50,500000,0.9999969148606641,3.085139335871216e-06,0.9999934249751286,linear_spg_eta=1.0,Beta,0,0
51,510000,0.9999960138848258,3.9861151741925975e-06,0.9999914846933271,linear_spg_eta=1.0,Beta,0,0
52,520000,0.9999962005392959,3.7994607040418044e-06,0.9999918838072928,linear_spg_eta=1.0,Beta,0,0
53,530000,0.9999963704717353,3.6295282646578098e-06,0.9999922471502435,linear_spg_eta=1.0,Beta,0,0
54,540000,0.9999965258340978,3.4741659022494646e-06,0.9999925793266959,linear_spg_eta=1.0,Beta,0,0
55,550000,0.9999966684241793,3.331575820534226e-06,0.9999928841832516,linear_spg_eta=1.0,Beta,0,0
56,560000,0.9999967997556083,3.200244391635316e-06,0.9999931649583959,linear_spg_eta=1.0,Beta,0,0
57,570000,0.9999969211118654,3.078888134521684e-06,0.9999934243981171,linear_spg_eta=1.0,Beta,0,0
58,580000,0.9999970335884325,2.966411567576246e-06,0.9999936648461109,linear_spg_eta=1.0,Beta,0,0
59,590000,0.9999971381260029,2.861873997072855e-06,0.9999938883148568,linear_spg_eta=1.0,Beta,0,0
60,600000,0.9999972355368939,2.764463106051268e-06,0.9999940965421403,linear_spg_eta=1.0,Beta,0,0
61,610000,0.9999973265262257,2.6734737741686424e-06,0.9999942910363794,linear_spg_eta=1.0,Beta,0,0
62,620000,0.9999964536283964,3.546371603661737e-06,0.9999924083137934,linear_spg_eta=1.0,Beta,0,0
63,630000,0.9999966026107634,3.397389236569467e-06,0.9999927276307425,linear_spg_eta=1.0,Beta,0,0
64,640000,0.99999673956035,3.2604396500984796e-06,0.9999930211424064,linear_spg_eta=1.0,Beta,0,0
