,iteration,expected_reward,sub_opt_gap,opt_action_pr,algo,env_name,instance_number,run_number
0,0,0.4791198971438837,0.2708801028561163,0.16666666666666666,linear_spg_eta=10.0,Bernoulli (easy),0,0
1,10000,0.7499945159073571,5.484092642935069e-06,0.9999767768920158,linear_spg_eta=10.0,Bernoulli (easy),0,0
2,20000,0.7499972621364909,2.7378635090655635e-06,0.9999884039166991,linear_spg_eta=10.0,Bernoulli (easy),0,0
3,30000,0.7499981780439791,1.8219560209931593e-06,0.999992282786068,linear_spg_eta=10.0,Bernoulli (easy),0,0
4,40000,0.7499986357269433,1.3642730566573387e-06,0.9999942212830693,linear_spg_eta=10.0,Bernoulli (easy),0,0
5,50000,0.7499989077239181,1.0922760818881086e-06,0.9999953733774405,linear_spg_eta=10.0,Bernoulli (easy),0,0
6,60000,0.7499990884579266,9.115420734386629e-07,0.999996138933672,linear_spg_eta=10.0,Bernoulli (easy),0,0
7,70000,0.7499992192094803,7.807905198259134e-07,0.9999966927833981,linear_spg_eta=10.0,Bernoulli (easy),0,0
8,80000,0.7499993170332357,6.829667643536439e-07,0.9999971071589756,linear_spg_eta=10.0,Bernoulli (easy),0,0
9,90000,0.7499993929239638,6.070760362893447e-07,0.9999974286295709,linear_spg_eta=10.0,Bernoulli (easy),0,0
10,100000,0.7499994533622882,5.466377118113114e-07,0.9999976846451214,linear_spg_eta=10.0,Bernoulli (easy),0,0
11,110000,0.7499995029671191,4.970328808383256e-07,0.999997894770448,linear_spg_eta=10.0,Bernoulli (easy),0,0
12,120000,0.7499995440984932,4.559015068345063e-07,0.999998069002286,linear_spg_eta=10.0,Bernoulli (easy),0,0
13,130000,0.7499995793585639,4.2064143610327604e-07,0.9999982183631791,linear_spg_eta=10.0,Bernoulli (easy),0,0
14,140000,0.7499996091687173,3.9083128270836937e-07,0.9999983446380791,linear_spg_eta=10.0,Bernoulli (easy),0,0
15,150000,0.7499996350580914,3.649419085928951e-07,0.9999984543043914,linear_spg_eta=10.0,Bernoulli (easy),0,0
16,160000,0.749999657704101,3.4229589887220146e-07,0.9999985502316584,linear_spg_eta=10.0,Bernoulli (easy),0,0
17,170000,0.7499996778999233,3.221000766460851e-07,0.9999986357797811,linear_spg_eta=10.0,Bernoulli (easy),0,0
18,180000,0.7499996957007439,3.042992562824422e-07,0.9999987111825729,linear_spg_eta=10.0,Bernoulli (easy),0,0
19,190000,0.7499997116325354,2.883674645316095e-07,0.9999987786680673,linear_spg_eta=10.0,Bernoulli (easy),0,0
20,200000,0.7499933456565401,6.654343459895104e-06,0.9999726648677869,linear_spg_eta=10.0,Bernoulli (easy),0,0
